a52dec 0.7.4-11
aalib 1.4rc5-14
abiword 3.0.5-2
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
acpid 2.0.34-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-sans-fonts 3.046-1
adobe-source-serif-fonts 4.004-2
adwaita-icon-theme 43-1
adwaita-qt6 1.4.2-1
aiksaurus 1.2.1-9
akonadi-contacts 22.08.3-1
alembic 1.8.4-1
alsa-card-profiles 1:0.3.59-5
alsa-firmware 1.2.4-2
alsa-lib 1.2.8-1
alsa-oss 1.1.8-4
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
amd-ucode 20221109.60310c2-1
android-studio 2021.2.1.15-1
android-tools 33.0.3-2
android-udev 20220903-1
anki-official-binary-bundle 2.1.49-1
anydesk-bin 6.1.1-5
aom 3.5.0-1
apparmor 3.1.2-1
appimagelauncher 2.2.0-9
appstream 0.15.5-1
appstream-glib 0.8.2-1
appstream-qt 0.15.5-1
archlinux-appstream-data 20221014-1
archlinux-keyring 20221110-1
argon2 20190702-4
argyllcms 2.3.1-2
aria2 1.36.0-1
aribb24 1.0.3-3
aribb25 0.2.7-2
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attica 5.99.0-1
attr 2.5.1-2
audacity 1:3.2.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-3
babl 0.1.96-1
baloo 5.99.0-1
base 3-2
bash 5.1.016-2
bash-completion 2.11-3
bashrc-manjaro 5.1.016-2
bazel 5.3.2-1
bc 1.07.1-4
bcg729 1.1.1-1
beanshell 2.1.0-1
bind 9.18.8-2
binutils 2.39-3
bison 3.8.2-4
blas 3.11-1
blender 17:3.3.1-6
blosc 1.21.1-2
blueman 2.3.4-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-utils 5.66-1
boost-libs 1.80.0-3
box2d 2.4.1-1
breeze 5.26.3.1-1
breeze-icons 5.99.0-1
breezy 3.3.0-1
bridge-utils 1.7.1-1
brotli 1.0.9-8
btrfs-progs 6.0.1-1
bubblewrap 0.7.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.85-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
calibre 6.8.0-2
cantarell-fonts 1:0.303.1-1
cblas 3.11-1
cdparanoia 10.2-8
ceph-libs 15.2.17-1
chmlib 0.40-6
chntpw 140201-4
chromaprint 1.5.1-5
chromium 107.0.5304.121-1
cifs-utils 7.0-1
ckbcomp 1.208-1
clang 14.0.6-3
clucene 2.3.3.4-12
cmake 3.24.3-1
cni-plugins 1.1.1-2
coin-or-asl 2.0.0-1
coin-or-cbc 2.10.8-1
coin-or-cgl 0.60.6-2
coin-or-clp 1.17.7-3
coin-or-coinutils 2.11.6-1
coin-or-data-sample 1.2.12-1
coin-or-mp 1.8.4-5
coin-or-osi 0.108.7-1
colord 1.4.6-1
colord-gtk 0.3.0-2
colord-gtk-common 0.3.0-2
colord-sane 1.4.6-1
compiler-rt 14.0.6-1
confuse 3.3-3
conntrack-tools 1.4.7-1
containerd 1.6.9-1
convertlit 1.8-10
coreutils 9.1-3
cowsay 3.04-2
cpupower 6.0-2
cracklib 2.9.8-1
crictl 1.25.0-1
cronie 1.6.1-1
cryptsetup 2.5.0-4
cups 1:2.4.2-3
cups-filters 1.28.16-2
cups-pdf 3.0.1-6
cups-pk-helper 0.2.7-1
curl 7.86.0-3
cython 0.29.32-2
darktable 2:4.0.1-3
dav1d 1.0.0-1
db 5.3.28-5
dbus-glib 0.112-2
dbus-python 1.2.18-3
dbus-x11 1.14.4-1
dconf 0.40.0-1
dconf-editor-3.20 3.20.3-1
debugedit 5.0-4
desktop-file-utils 0.26-2
device-mapper 2.03.17-1
dhclient 4.4.3.P1-1
dhcpcd 9.4.1-1
diffutils 3.8-1
digikam 7.8.0-2
ding-libs 0.6.2-1
discord 0.0.21-2
discount 2.2.7.b-1
djvulibre 3.5.28-3
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.87-3
dnssec-anchors 20190629-3
docker 1:20.10.21-1
docker-compose 2.12.2-1
dosfstools 4.2-2
dotconf 1.3-6
double-conversion 3.2.1-1
draco 1.5.5-1
duktape 2.7.0-4
dvgrab 3.5-12
e2fsprogs 1.46.5-4
ebook-tools 0.2.2-7
eclipse-jee-bin 4.20-1
ecryptfs-utils 111-6
editorconfig-core-c 0.12.5-1
efibootmgr 18-1
efivar 38-2
electron12 12.2.3-4
electron18 18.3.15-3
embree 3.13.5-1
enblend-enfuse 4.2.r1524+h4c30a326b3f4-2
enchant 2.3.3-2
engrampa 1.26.0-1
etcher 1.7.9-1
ethtool 1:6.0-1
evince 43.1-1
exfat-utils 1.3.0-2
exiv2 0.27.5-3
exo 4.16.4-1
expac 10-5
expat 2.5.0-1
f2fs-tools 1.15.0-2
faac 1.30-3
faad2 2.10.1-1
fakeroot 1.30.1-1
ffcall 2.4-2
ffmpeg 2:5.1.2-1
ffmpeg4.4 4.4.2-3
ffmpegthumbnailer 2.2.2-4
fftw 3.3.10-3
fig2dev 3.2.8.b-1
file 5.43-1
filesystem 2022.10.18-1
findutils 4.9.0-1
firefox 107.0-1
flac 1.4.2-1
flameshot 12.1.0-1
flatpak 1:1.15.0-2
flex 2.6.4-3
flickcurl 1.26-12
fluidsynth 2.3.0-2
fmt 9.1.0-2
font-manager 0.8.8-1
fontconfig 2:2.14.1-2
foomatic-db 3:20221004-1
foomatic-db-engine 4:20220521-1
foomatic-db-gutenprint-ppds 5.3.4-1
foomatic-db-nonfree 3:20221004-1
foomatic-db-nonfree-ppds 3:20221004-1
foomatic-db-ppds 3:20221004-1
frameworkintegration 5.99.0-1
freeglut 3.4.0-1
freetype2 2.12.1-1
frei0r-plugins 1.8.0-2
fribidi 1.0.12-1
ftgl 2.4.0-2
fuse-common 3.12.0-1
fuse2 2.9.9-4
fuse3 3.12.0-1
game-devices-udev 0.18-1
garcon 4.16.1-1
gavl 1.4.0-6
gawk 5.2.0-3
gc 8.2.2-1
gcab 1.5-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gcolor2 0.4-9
gcr 3.41.1-3
gcr-4 4.0.0-1
gd 2.3.3-5
gdbm 1.23-1
gdk-pixbuf2 2.42.10-1
geckodriver 0.30.0-1
gedit 42.2-2
gedit-plugins 42.1-1
geekbench 5.4.1-1
gegl 0.4.38-2
geoclue 2.6.0-3
geocode-glib 3.26.4-2
geocode-glib-2 3.26.4-2
geocode-glib-common 3.26.4-2
gettext 0.21.1-2
ghc 9.0.2-1
ghc-libs 9.0.2-1
ghostscript 10.0.0-2
giflib 5.2.1-2
gifski 1.7.2-1
gimp 2.10.32-2
git 2.38.1-2
gjs 2:1.74.1-1
glew 2.2.0-5
glew1.10 1.10.0-3
glib-networking 1:2.74.0-1
glib2 2.74.1-1
glibc 2.36-6
glibmm 2.66.5-1
glm 0.9.9.8-1
glpk 5.0-1
glslang 11.11.0-1
glu 9.0.2-3
gmic 3.1.6-1
gmp 6.2.1-2
gnome-autoar 0.4.3-2
gnome-bluetooth 3.34.5-4
gnome-bluetooth-3.0 42.4-1
gnome-desktop 1:43-1
gnome-desktop-4 1:43-1
gnome-desktop-common 1:43-1
gnome-disk-utility 43.0-1
gnome-icon-theme 3.12.0-6
gnome-icon-theme-symbolic 3.12.0-6
